实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
MTEXT,尺寸线层,256,BYLAYER,-1,,,,,A,,191.455,24.504,,,,,,,,,,10,0,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,,A向,,335.871,130.735,,,,,,,,,,10,0,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X8-前吊耳,,,188.3,12.3,,,,,,,,,,,,,,,
LINE,尺寸线层,256,Continuous,-1,,,,引用于: *X8-前吊耳,,,,,0,0,12,0,,,,,,,,,,,
LINE,尺寸线层,256,Continuous,-1,,,,引用于: *X8-前吊耳,,,,,0,0,2.629,1.511,,,,,,,,,,,
LINE,尺寸线层,256,Continuous,-1,,,,引用于: *X8-前吊耳,,,,,0,0,2.629,-1.511,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,,,,,,120,-223,62,-223,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,118.5,-221,56.038,-221,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,,,,,,120,-177,62,-177,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,118.5,-179,56.038,-179,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,,,,,,62,-177,62,-223,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,56.038,-179,52,-200,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,118.5,21,118.5,-21,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,52,-200,56.038,-221,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,120,23,118.5,21,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,120,-23,118.5,-21,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,118.5,-179,118.5,-221,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,120,-177,118.5,-179,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,120,-223,118.5,-221,,,,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,350,0,21.5,,,,,,,,
ARC,虚线层,256,BYLAYER,-1,,,,,,,,,,,,,350,0,23,,,,,,180,90,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-175,37.5,-179,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-186,37.5,-214,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-217,37.5,-229,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-171,-37.5,-183,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-186,-37.5,-214,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-217,-37.5,-229,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-183,-39.5,-186,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-186,39.5,-186,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-183,39.5,-183,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-217,-39.5,-214,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-214,39.5,-214,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-39.5,-217,39.5,-217,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-171,37.5,-183,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-186,37.5,-214,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-217,37.5,-229,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,39.5,-183,39.5,-186,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,39.5,-217,39.5,-214,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,28,{\H0.5x;<>},28.035,-186,-3.6,-214,-3.6,-186,,,,,,,90,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,3,{\H0.5x;2.7{\H0.7x;\S+0.14^ 0;}},-12.52,-183,-25.333,-186,-25.333,-183,,,,,,,90,160,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,79,{\H0.5x;%%C<>{\H0.49x;\S+0.25^ 0;}},39.5,-132.934,-39.5,-183,39.5,-183,,,,,,,0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,75,{\H0.5x;<>},37.5,-152.419,-37.5,-172.5,37.5,-172.5,,,,,,,0,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-171,-38.5,-170,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-171,38.5,-170,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-229,37.5,-229,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-229,-38.5,-230,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,37.5,-229,38.5,-230,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,0,-168.096,0,-235.485,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-72,0,130,0,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,0,-72,0,72,,,,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,0,0,37.5,,,,,,,,
CIRCLE,虚线层,256,BYLAYER,-1,,,,,,,,,,,,,0,0,39.5,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,62,,-102.341,50.473,,,,,0,0,,,,,144.174,164,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,0,62,120,62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,0,-62,120,-62,,,,,,,,,,,
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,0,0,62,,,,,,90,270,
INSERT,0,256,BYLAYER,-1,,,,块名: 表格-前吊耳,,,540.8,-328,,,,,,,,,,,,,,,
MTEXT,粗实线层,7,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.6;\T1.1;羿射旭减隔震张家口有限公司},,-190.4,66,,,,,,,,,,8,0,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-288,80,0,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,0,80,0,0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,0,0,-288,0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-288,0,-288,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,0,-192,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-96,0,-96,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-96,24,-288,24,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-96,40,-288,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,72,-288,72,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,64,-288,64,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,56,-288,56,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,48,-288,48,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,32,-288,32,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-192,16,-288,16,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-168,8,-168,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-144,0,-144,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-120,8,-120,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,0,60,-96,60,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,0,40,-96,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,0,20,-96,20,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-273.6,40,-273.6,80,,,,,,,,,,,
