实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
HATCH,剖面线层,256,BYLAYER,-1,,,无图案,,,,,,,,,,,,,"(2255.302, 2078.859); (2255.302, 2033.859); (2255.302, 2033.859); (2255.302, 2008.859); (2255.302, 2008.859); (2255.302, 1865.518); (2255.302, 1865.518); (2230.302, 1865.518); (2230.302, 1865.518); (2230.302, 2008.859); (2230.302, 2008.859); (2230.302, 2033.859); (2230.302, 2033.859); (2230.302, 2078.859); (2230.302, 2078.859); (2230.302, 2103.859); (2230.302, 2103.859); (2230.302, 2148.859); (2230.302, 2148.859); (2230.302, 2173.859); (2230.302, 2173.859); (2230.302, 2327.518); (2230.302, 2327.518); (2255.302, 2327.518); (2255.302, 2327.518); (2255.302, 2173.859); (2255.302, 2173.859); (2255.302, 2148.859); (2255.302, 2148.859); (2255.302, 2103.859); (2255.302, 2103.859); (2255.302, 2078.859)",,,,,,,1,
HATCH,剖面线层,256,BYLAYER,-1,,,无图案,,,,,,,,,,,,,"(2597.003, 1920.645); (2597.003, 2120.645); (2597.003, 2120.645); (2611.003, 2120.645); (2611.003, 2120.645); (2611.003, 2033.145); (2611.003, 2033.145); (2611.003, 2020.645); (2611.003, 2020.645); (2611.003, 2008.145); (2611.003, 2008.145); (2611.003, 1920.645); (2611.003, 1920.645); (2597.003, 1920.645); (3468.003, 2033.145); (3468.003, 2120.645); (3468.003, 2120.645); (3482.003, 2120.645); (3482.003, 2120.645); (3482.003, 2020.645); (3482.003, 2020.645); (3468.003, 2020.645); (3468.003, 2020.645); (3468.003, 2033.145); (3468.003, 1920.645); (3468.003, 2008.145); (3468.003, 2008.145); (3468.003, 2020.645); (3468.003, 2020.645); (3482.003, 2020.645); (3482.003, 2020.645); (3482.003, 1920.645); (3482.003, 1920.645); (3468.003, 1920.645); (2750.826, 2033.145); (2750.826, 2120.645); (2750.826, 2120.645); (2775.826, 2120.645); (2775.826, 2120.645); (2775.826, 2033.145); (2775.826, 2033.145); (2750.826, 2033.145); (2750.826, 1920.645); (2750.826, 2008.145); (2750.826, 2008.145); (2775.826, 2008.145); (2775.826, 2008.145); (2775.826, 1920.645); (2775.826, 1920.645); (2750.826, 1920.645); (2825.237, 2033.145); (2825.237, 2120.645); (2825.237, 2120.645); (2850.237, 2120.645); (2850.237, 2120.645); (2850.237, 2033.145); (2850.237, 2033.145); (2825.237, 2033.145); (2825.237, 1920.645); (2825.237, 2008.145); (2825.237, 2008.145); (2850.237, 2008.145); (2850.237, 2008.145); (2850.237, 1920.645); (2850.237, 1920.645); (2825.237, 1920.645); (2899.648, 2033.145); (2899.648, 2120.645); (2899.648, 2120.645); (2924.648, 2120.645); (2924.648, 2120.645); (2924.648, 2033.145); (2924.648, 2033.145); (2899.648, 2033.145); (2899.648, 1920.645); (2899.648, 2008.145); (2899.648, 2008.145); (2924.648, 2008.145); (2924.648, 2008.145); (2924.648, 1920.645); (2924.648, 1920.645); (2899.648, 1920.645); (3032.503, 2033.145); (3032.503, 2120.645); (3032.503, 2120.645); (3039.503, 2120.645); (3039.503, 2120.645); (3039.503, 2033.145); (3039.503, 2033.145); (3032.503, 2033.145); (3039.503, 2033.145); (3039.503, 2120.645); (3039.503, 2120.645); (3046.503, 2120.645); (3046.503, 2120.645); (3046.503, 2033.145); (3046.503, 2033.145); (3039.503, 2033.145); (3032.503, 1920.645); (3032.503, 2008.145); (3032.503, 2008.145); (3039.503, 2008.145); (3039.503, 2008.145); (3039.503, 1920.645); (3039.503, 1920.645); (3032.503, 1920.645); (3039.503, 1920.645); (3039.503, 2008.145); (3039.503, 2008.145); (3046.503, 2008.145); (3046.503, 2008.145); (3046.503, 1920.645); (3046.503, 1920.645); (3039.503, 1920.645); (3145.358, 2033.145); (3145.358, 2120.645); (3145.358, 2120.645); (3170.358, 2120.645); (3170.358, 2120.645); (3170.358, 2033.145); (3170.358, 2033.145); (3145.358, 2033.145); (3145.358, 1920.645); (3145.358, 2008.145); (3145.358, 2008.145); (3170.358, 2008.145); (3170.358, 2008.145); (3170.358, 1920.645); (3170.358, 1920.645); (3145.358, 1920.645); (3219.769, 2033.145); (3219.769, 2120.645); (3219.769, 2120.645); (3244.769, 2120.645); (3244.769, 2120.645); (3244.769, 2033.145); (3244.769, 2033.145); (3219.769, 2033.145); (3219.769, 1920.645); (3219.769, 2008.145); (3219.769, 2008.145); (3244.769, 2008.145); (3244.769, 2008.145); (3244.769, 1920.645); (3244.769, 1920.645); (3219.769, 1920.645); (3294.18, 2033.145); (3294.18, 2120.645); (3294.18, 2120.645); (3319.18, 2120.645); (3319.18, 2120.645); (3319.18, 2033.145); (3319.18, 2033.145); (3294.18, 2033.145); (3294.18, 1920.645); (3294.18, 2008.145); (3294.18, 2008.145); (3319.18, 2008.145); (3319.18, 2008.145); (3319.18, 1920.645); (3319.18, 1920.645); (3294.18, 1920.645)",,,,,,,1,
HATCH,剖面线层,256,BYLAYER,-1,,,无图案,,,,,,,,,,,,,"(2611.003, 2020.645); (2611.003, 2033.145); (2611.003, 2033.145); (2750.826, 2033.145); (2750.826, 2033.145); (2775.826, 2033.145); (2775.826, 2033.145); (2825.237, 2033.145); (2825.237, 2033.145); (2850.237, 2033.145); (2850.237, 2033.145); (2899.648, 2033.145); (2899.648, 2033.145); (2924.648, 2033.145); (2924.648, 2033.145); (3032.503, 2033.145); (3032.503, 2033.145); (3039.503, 2033.145); (3039.503, 2033.145); (3039.503, 2020.645); (3039.503, 2020.645); (2611.003, 2020.645); (2611.003, 2008.145); (2611.003, 2020.645); (2611.003, 2020.645); (3039.503, 2020.645); (3039.503, 2020.645); (3039.503, 2008.145); (3039.503, 2008.145); (3032.503, 2008.145); (3032.503, 2008.145); (2924.648, 2008.145); (2924.648, 2008.145); (2899.648, 2008.145); (2899.648, 2008.145); (2850.237, 2008.145); (2850.237, 2008.145); (2825.237, 2008.145); (2825.237, 2008.145); (2775.826, 2008.145); (2775.826, 2008.145); (2750.826, 2008.145); (2750.826, 2008.145); (2611.003, 2008.145); (3039.503, 2020.645); (3039.503, 2033.145); (3039.503, 2033.145); (3046.503, 2033.145); (3046.503, 2033.145); (3145.358, 2033.145); (3145.358, 2033.145); (3170.358, 2033.145); (3170.358, 2033.145); (3219.769, 2033.145); (3219.769, 2033.145); (3244.769, 2033.145); (3244.769, 2033.145); (3294.18, 2033.145); (3294.18, 2033.145); (3319.18, 2033.145); (3319.18, 2033.145); (3468.003, 2033.145); (3468.003, 2033.145); (3468.003, 2020.645); (3468.003, 2020.645); (3039.503, 2020.645); (3039.503, 2008.145); (3039.503, 2020.645); (3039.503, 2020.645); (3468.003, 2020.645); (3468.003, 2020.645); (3468.003, 2008.145); (3468.003, 2008.145); (3319.18, 2008.145); (3319.18, 2008.145); (3294.18, 2008.145); (3294.18, 2008.145); (3244.769, 2008.145); (3244.769, 2008.145); (3219.769, 2008.145); (3219.769, 2008.145); (3170.358, 2008.145); (3170.358, 2008.145); (3145.358, 2008.145); (3145.358, 2008.145); (3046.503, 2008.145); (3046.503, 2008.145); (3039.503, 2008.145)",,,,,,,1,
INSERT,细实线层,256,BYLAYER,-1,,,,块名: *X32,,,672.247,2209.982,,,,,,,,,,,,,,,,
CIRCLE,细实线层,0,ByBlock,-2,,,,引用于: *X32,,,,,,,,,0,0,33.881,,,,,,,,,
LINE,细实线层,0,ByBlock,-2,,,,引用于: *X32,,,,,-33.584,4.473,-219.09,29.178,,,,,,,,,,,,
TEXT,尺寸线层,0,ByBlock,-2,,,,引用于: *X32,C,,-248.866,38.628,,,,,,,,,,31.5,0,,,,,
LINE,细实线层,0,ByBlock,-2,,,,引用于: *X32,,,,,-219.09,29.178,-263.619,29.178,,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X33,,,262.724,2300.294,,,,,,,,,,,,,,,,
TEXT,尺寸线层,0,ByBlock,-2,,,,引用于: *X33,C,,-7.511,9.45,,,,,,,,,,31.5,0,,,,,
